AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A152,L49,India,31-05-2026,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",23.16,72.68,PM10,41,161,104
A153,L49,India,31-05-2026,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.24,72.69,NH3,1,2,1
A154,L49,India,31-05-2026,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.22,72.65,PM10,26,117,83
A155,L49,India,31-05-2026,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.22,72.65,OZONE,6,36,11
A156,L50,India,31-05-2026,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59,72.37,OZONE,12,18,14
A157,L51,India,31-05-2026,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",22.41,73.1,PM10,7,63,46
A158,L52,India,31-05-2026,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.5,75.47,CO,32,40,37
A159,L53,India,31-05-2026,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",28.42,77.15,OZONE,2,109,49
A160,L53,India,31-05-2026,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.42,77.07,NO2,4,7,6
A161,L53,India,31-05-2026,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.42,77.07,NH3,6,10,9
A162,L53,India,31-05-2026,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.45,77.03,PM2.5,21,153,50
A163,L53,India,31-05-2026,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.45,77.03,CO,64,115,98
A164,L53,India,31-05-2026,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.45,77.03,OZONE,4,31,19
A165,L54,India,31-05-2026,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14,75.74,PM2.5,3,87,56
A166,L54,India,31-05-2026,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14,75.74,OZONE,5,88,34
A167,L55,India,31-05-2026,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",29.8,76.42,PM2.5,33,241,95
A168,L56,India,31-05-2026,Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.7,77,SO2,1,138,21
A169,L57,India,31-05-2026,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9,76.99,PM2.5,12,49,28
